company_name,job_name,job_location
Advanced World Systems Inc.,"['Data Engineer', 'Data Scientist']",['Cebu City']
Arcanys,['Software Project Manager / Scrum Master / Business Analyst (Remote Set-up)'],['Cebu City']
Arcenas Development Corporation,['DATA ANALYST'],['Cebu']
CMPi,['Supply Chain Data Analyst'],['Mandaue City']
Cebu Home and Builders Centre,['Data Analyst'],"['Mandaue City, Cebu']"
"Cebu Mitsumi, Inc.",['Machine Learning Engineer'],"['Cebu City, Cebu']"
Channel Precision Inc.,['Data Analyst'],"['Cebu City, Cebu', 'Cebu City']"
DNA MICRO SOFTWARE INC.,"['Software Business Analyst (on-site, Shifts, Cebu City)', 'Software Business Analyst']",['Cebu City']
Dynata Philippines Inc.,['Data and Reports Analyst'],['Lapu-Lapu City']
EY GLOBAL DELIVERY SERVICES (GDS) PHILIPPINES,['ServiceNow Senior Business Analyst (Cebu-based)'],['Cebu City']
GHD Pty Ltd,['Data Engineer'],['Cebu City']
HawodTech Solutions,['Data Analyst'],['Cebu City']
Helpmate Incorporated,['Data Scientist'],"['Cebu City, Cebu']"
Kinettix,['AI Data Engineer'],['Cebu City']
Kinettix Inc. (Philippines),['AI Data Engineer'],['Cebu']
"Kuehne + Nagel, Inc.",['Regional Data Engineer'],['Cebu']
LegalMatch.com,"['Data Analyst- Online Marketing (Remote, Philippines)']",['Remote in Cebu City']
"Lexmark International, Inc.","['Sourcing to Pay Business Analyst', 'Data Governance Data Analyst']",['Cebu']
Lexmark Research & Development Corporation,"['Revenue Data Analyst | Hybrid', 'Data Governance Data Analyst | Hybrid', 'Revenue Data Analyst', 'Business Analyst - Services | Hybrid', 'Business Analyst - Supply Chain | Hybrid', 'Business Analyst - Sourcing to Pay | Hybrid']",['Cebu City']
MinebeaMitsumi Philippines,"['Machine Learning Engineer', 'Artificial Intelligence Engineer', 'Artificial Intelligence Engineer- MinebeaMitsumi Global Support Center (Philippines)', 'Artificial Intelligence Engineer- - MinebeaMitsumi Global Support Center (PH)']","['Danao', 'Danao City']"
NORTH TREND MARKETING CORPORATION,['Business Analyst'],['Cebu City']
Prince Retail Group of Companies,['IT Sr. Data Engineer'],['Tipolo']
Qualfon,['Business Intelligence-Data Scientist'],['Cebu City']
RCN PH NCareer,['Data Scientist (AI) - 45828'],['Cebu City']
"REALPAGE (PHILIPPINES), INC.","['Implementation Data Analyst | CEBU', 'Business Analyst - Reporting Insights (Excel) | CEBU', 'Salesforce Business Analyst (Remote) | CEBU']",['Cebu City']
"Ramon Aboitiz Foundation, Inc.",['Business Analyst'],['Cebu City']
"Reeracoen Philippines, Inc.","['Data Scientist - Cebu', 'Data Engineer Consultant - Cebu']",['Cebu City']
"Ruralnet, Inc.","['Data Analyst', 'Data Analyst | Business Analyst']",['Cebu City']
Signant Health,['Data Engineer - Operations'],['Philippines']
TOA Global,['IT Data Analyst'],['Cebu City']
Tech Mahindra Ltd.,['Sr. Business Analyst-Cebu City'],"['Cebu City', 'Cebu']"
Teradyne,['Business Intelligence Developer / Data Engineer'],['Lapu-Lapu City']
Trax Group,['Logistics Data Analyst - EMEA & AMR'],['6000']
TvStartup Inc,['Business Analyst'],"['Cebu City, Cebu']"
VBP,['Data Analyst'],['Cebu City']
VOsquared LLC,['Work from Home! Experienced Data Analyst'],['Home-based']
Virtual Business Partners,['Data Analyst'],['Cebu']
XtendOps,['Data Analyst in BPO Set-up'],['Cebu City']
